関西大学バス時刻表（のりば1）平日 － JR高槻駅北行き,,,
2026年4月1日改正,,,
時,発車時刻,行き先,備考
7時,7:04,JR高槻駅北（平安女学院大学経由）,
7時,7:33,JR高槻駅北（平安女学院大学経由）,
8時,8:03,JR高槻駅北（平安女学院大学経由）,
8時,8:48,JR高槻駅北（平安女学院大学経由）,
9時,9:13,JR高槻駅北（平安女学院大学経由）,
9時,9:28,JR高槻駅北（平安女学院大学経由）,
10時,10:04,JR高槻駅北（平安女学院大学経由）,
10時,10:23,JR高槻駅北（平安女学院大学経由）,
10時,10:44,JR高槻駅北（平安女学院大学経由）,
11時,11:03,JR高槻駅北（平安女学院大学経由）,
11時,11:19,JR高槻駅北（平安女学院大学経由）,
11時,11:35,JR高槻駅北（平安女学院大学経由）,
11時,11:51,JR高槻駅北（平安女学院大学経由）,
12時,12:10,JR高槻駅北（平安女学院大学経由）,
12時,12:30,JR高槻駅北（平安女学院大学経由）,
12時,12:50,JR高槻駅北（平安女学院大学経由）,
13時,13:04,JR高槻駅北（平安女学院大学経由）,
13時,13:24,JR高槻駅北（平安女学院大学経由）,
13時,13:44,JR高槻駅北（平安女学院大学経由）,
14時,14:04,JR高槻駅北（平安女学院大学経由）,
14時,14:24,JR高槻駅北（平安女学院大学経由）,
14時,14:34,JR高槻駅北（平安女学院大学経由）,
14時,14:37,JR高槻駅北（平安女学院大学経由）,
14時,14:50,JR高槻駅北（平安女学院大学経由）,
15時,15:15,JR高槻駅北（平安女学院大学経由）,
15時,15:36,JR高槻駅北（平安女学院大学経由）,
15時,15:51,JR高槻駅北（平安女学院大学経由）,
16時,16:10,JR高槻駅北（直行）,直行便
16時,16:15,JR高槻駅北（平安女学院大学経由）,
16時,16:20,JR高槻駅北（平安女学院大学経由）,
16時,16:24,JR高槻駅北（平安女学院大学経由）,
16時,16:28,JR高槻駅北（平安女学院大学経由）,
16時,16:36,JR高槻駅北（平安女学院大学経由）,
16時,16:51,JR高槻駅北（平安女学院大学経由）,
17時,17:05,JR高槻駅北（平安女学院大学経由）,
17時,17:15,JR高槻駅北（平安女学院大学経由）,
17時,17:25,JR高槻駅北（平安女学院大学経由）,
17時,17:43,JR高槻駅北（平安女学院大学経由）,
17時,17:55,JR高槻駅北（直行）,直行便
17時,17:59,JR高槻駅北（平安女学院大学経由）,
18時,18:03,JR高槻駅北（平安女学院大学経由）,
18時,18:08,JR高槻駅北（平安女学院大学経由）,
18時,18:14,JR高槻駅北（平安女学院大学経由）,
18時,18:34,JR高槻駅北（平安女学院大学経由）,
18時,18:50,JR高槻駅北（平安女学院大学経由）,
19時,19:10,JR高槻駅北（平安女学院大学経由）,
19時,19:40,JR高槻駅北（平安女学院大学経由）,
20時,20:10,JR高槻駅北（平安女学院大学経由）,
20時,20:35,JR高槻駅北（平安女学院大学経由）,
21時,21:20,JR高槻駅北（平安女学院大学経由）,
21時,21:49,JR高槻駅北（平安女学院大学経由）,
22時,22:19,JR高槻駅北（平安女学院大学経由）,
,,,
【凡例】,,,
通常便,直行便（■）,,
