高槻市駅 時刻表（阪急京都本線 京都河原町・桂方面）平日,,,,,
時,発車時刻,種別,行き先,,
5時,05:14,普通,京都河原町,,
5時,05:36,普通,京都河原町,,
5時,05:56,普通,京都河原町,,
6時,06:04,普通,京都河原町,,
6時,06:14,普通,京都河原町,,
6時,06:24,準特急,京都河原町,,
6時,06:26,準特急,京都河原町（当駅始発）,,
6時,06:36,準特急,京都河原町,,
6時,06:37,普通,京都河原町,,
6時,06:50,準特急,京都河原町,,
6時,06:51,普通,京都河原町,,
6時,06:59,準特急,京都河原町,,
7時,07:00,普通,京都河原町,,
7時,07:09,準特急,京都河原町,,
7時,07:10,普通,京都河原町,,
7時,07:17,準特急,京都河原町,,
7時,07:18,普通,京都河原町,,
7時,07:25,準特急,京都河原町,,
7時,07:26,普通,京都河原町,,
7時,07:33,準特急,京都河原町,,
7時,07:34,普通,京都河原町,,
7時,07:44,準特急,京都河原町,,
7時,07:45,普通,京都河原町,,
7時,07:51,準特急,京都河原町,,
7時,07:52,普通,京都河原町,,
8時,08:00,準特急,京都河原町,,
8時,08:01,準急,京都河原町,,
8時,08:10,準特急,京都河原町,,
8時,08:11,普通,京都河原町,,
8時,08:18,通勤特急,京都河原町,,
8時,08:19,準急,京都河原町,,
8時,08:27,準特急,京都河原町,,
8時,08:28,普通,京都河原町,,
8時,08:36,通勤特急,京都河原町,,
8時,08:37,準急,京都河原町,,
8時,08:45,準特急,京都河原町,,
8時,08:47,普通,京都河原町,,
8時,08:54,通勤特急,京都河原町,,
8時,08:55,準急,京都河原町,,
9時,09:03,準特急,京都河原町,,
9時,09:04,普通,京都河原町,,
9時,09:13,特急,京都河原町,,
9時,09:14,準急,京都河原町,,
9時,09:23,特急,京都河原町,,
9時,09:24,準急,京都河原町,,
9時,09:32,特急,京都河原町,,
9時,09:33,準急,京都河原町,,
9時,09:43,特急,京都河原町,,
9時,09:44,準急,京都河原町,,
9時,09:52,特急,京都河原町,,
9時,09:53,準急,京都河原町,,
10時,10:02,特急,京都河原町,,
10時,10:03,準急,京都河原町,,
10時,10:12,特急,京都河原町,,
10時,10:13,準急,京都河原町,,
10時,10:22,特急,京都河原町,,
10時,10:23,準急,京都河原町,,
10時,10:32,特急,京都河原町,,
10時,10:33,準急,京都河原町,,
10時,10:42,特急,京都河原町,,
10時,10:43,準急,京都河原町,,
10時,10:52,特急,京都河原町,,
10時,10:53,準急,京都河原町,,
11時,11:02,特急,京都河原町,,
11時,11:03,準急,京都河原町,,
11時,11:12,特急,京都河原町,,
11時,11:13,準急,京都河原町,,
11時,11:22,特急,京都河原町,,
11時,11:23,準急,京都河原町,,
11時,11:32,特急,京都河原町,,
11時,11:33,準急,京都河原町,,
11時,11:42,特急,京都河原町,,
11時,11:43,準急,京都河原町,,
11時,11:52,特急,京都河原町,,
11時,11:53,準急,京都河原町,,
12時,12:02,特急,京都河原町,,
12時,12:03,準急,京都河原町,,
12時,12:12,特急,京都河原町,,
12時,12:13,準急,京都河原町,,
12時,12:22,特急,京都河原町,,
12時,12:23,準急,京都河原町,,
12時,12:32,特急,京都河原町,,
12時,12:33,準急,京都河原町,,
12時,12:42,特急,京都河原町,,
12時,12:43,準急,京都河原町,,
12時,12:52,特急,京都河原町,,
12時,12:53,準急,京都河原町,,
13時,13:02,特急,京都河原町,,
13時,13:03,準急,京都河原町,,
13時,13:12,特急,京都河原町,,
13時,13:13,準急,京都河原町,,
13時,13:22,特急,京都河原町,,
13時,13:23,準急,京都河原町,,
13時,13:32,特急,京都河原町,,
13時,13:33,準急,京都河原町,,
13時,13:42,特急,京都河原町,,
13時,13:43,準急,京都河原町,,
13時,13:52,特急,京都河原町,,
13時,13:53,準急,京都河原町,,
14時,14:02,特急,京都河原町,,
14時,14:03,準急,京都河原町,,
14時,14:12,特急,京都河原町,,
14時,14:13,準急,京都河原町,,
14時,14:22,特急,京都河原町,,
14時,14:23,準急,京都河原町,,
14時,14:32,特急,京都河原町,,
14時,14:33,準急,京都河原町,,
14時,14:42,特急,京都河原町,,
14時,14:43,準急,京都河原町,,
14時,14:52,特急,京都河原町,,
14時,14:53,準急,京都河原町,,
15時,15:02,特急,京都河原町,,
15時,15:03,準急,京都河原町,,
15時,15:12,特急,京都河原町,,
15時,15:13,準急,京都河原町,,
15時,15:22,特急,京都河原町,,
15時,15:23,準急,京都河原町,,
15時,15:32,特急,京都河原町,,
15時,15:33,準急,京都河原町,,
15時,15:42,特急,京都河原町,,
15時,15:43,準急,京都河原町,,
15時,15:51,特急,京都河原町,,
15時,15:52,準急,京都河原町,,
16時,16:02,特急,京都河原町,,
16時,16:03,準急,京都河原町,,
16時,16:12,特急,京都河原町,,
16時,16:13,準急,京都河原町,,
16時,16:22,特急,京都河原町,,
16時,16:23,準急,京都河原町,,
16時,16:32,特急,京都河原町,,
16時,16:33,準急,京都河原町,,
16時,16:42,特急,京都河原町,,
16時,16:43,準急,京都河原町,,
16時,16:51,特急,京都河原町,,
16時,16:52,準急,京都河原町,,
16時,16:56,普通,京都河原町,,
17時,17:02,特急,京都河原町,,
17時,17:03,準急,京都河原町,,
17時,17:13,準特急,京都河原町,,
17時,17:14,普通,京都河原町,,
17時,17:22,準特急,京都河原町,,
17時,17:23,普通,京都河原町,,
17時,17:29,準特急,京都河原町,,
17時,17:33,準特急,京都河原町,,
17時,17:34,普通,京都河原町,,
17時,17:41,準特急,京都河原町,,
17時,17:43,普通,京都河原町,,
17時,17:51,準特急,京都河原町,,
17時,17:52,普通,京都河原町,,
17時,17:56,普通,京都河原町,,
18時,18:02,準特急,京都河原町,,
18時,18:03,準急,京都河原町,,
18時,18:12,準特急,京都河原町,,
18時,18:13,準急,京都河原町,,
18時,18:23,準特急,京都河原町,,
18時,18:24,準急,京都河原町,,
18時,18:32,準特急,京都河原町,,
18時,18:33,準急,京都河原町,,
18時,18:43,準特急,京都河原町,,
18時,18:44,準急,京都河原町,,
18時,18:53,準特急,京都河原町,,
18時,18:54,準急,京都河原町,,
19時,19:03,準特急,京都河原町,,
19時,19:04,準急,京都河原町,,
19時,19:13,準特急,京都河原町,,
19時,19:14,準急,京都河原町,,
19時,19:23,準特急,京都河原町,,
19時,19:24,準急,京都河原町,,
19時,19:33,準特急,京都河原町,,
19時,19:34,普通,京都河原町,,
19時,19:37,普通,京都河原町,,
19時,19:43,準特急,京都河原町,,
19時,19:44,準急,京都河原町,,
19時,19:53,準特急,京都河原町,,
19時,19:54,準急,京都河原町,,
20時,20:03,準特急,京都河原町,,
20時,20:04,準急,京都河原町,,
20時,20:12,準特急,京都河原町,,
20時,20:13,準急,京都河原町,,
20時,20:22,準特急,京都河原町,,
20時,20:23,準急,京都河原町,,
20時,20:32,準特急,京都河原町,,
20時,20:33,準急,京都河原町,,
20時,20:42,準特急,京都河原町,,
20時,20:43,準急,京都河原町,,
20時,20:51,準特急,京都河原町,,
20時,20:52,準急,京都河原町,,
21時,21:01,準特急,京都河原町,,
21時,21:02,準急,京都河原町,,
21時,21:11,準特急,京都河原町,,
21時,21:12,準急,京都河原町,,
21時,21:21,準特急,京都河原町,,
21時,21:22,普通,京都河原町,,
21時,21:28,普通,京都河原町,,
21時,21:35,準特急,京都河原町,,
21時,21:36,準急,京都河原町,,
21時,21:46,準特急,京都河原町,,
21時,21:47,普通,京都河原町,,
21時,21:51,普通,京都河原町,,
22時,22:01,準特急,京都河原町,,
22時,22:02,準急,京都河原町,,
22時,22:05,普通,京都河原町,,
22時,22:11,準特急,京都河原町,,
22時,22:16,普通,京都河原町,,
22時,22:21,準特急,京都河原町,,
22時,22:26,普通,京都河原町,,
22時,22:33,準特急,京都河原町,,
22時,22:37,普通,京都河原町,,
22時,22:45,準特急,京都河原町,,
22時,22:49,普通,京都河原町,,
22時,22:57,準特急,京都河原町,,
23時,23:01,普通,京都河原町,,
23時,23:09,準特急,京都河原町,,
23時,23:13,普通,京都河原町,,
23時,23:21,準特急,京都河原町,,
23時,23:26,普通,桂,,
23時,23:40,急行,桂,,
23時,23:45,普通,桂,,
23時,23:55,急行,桂,,
0時,00:00,普通,桂,,
0時,00:10,急行,桂,,
0時,00:15,普通,桂,,
,,,,,
【凡例】,,,,,
普通,準急,準特急,特急,急行,通勤特急
